instructor_id,first_name,last_name,email,phone_number,department
d4fba2d9-c269-4d11-82f8-e94787f74bc1,Barbara,Parker,garciabarbara@example.com,(673)540-0300,Physics
ed65e55c-cdd7-4672-bfd0-37b3a5afd703,Christopher,Medina,bakerjohn@example.com,001-253-791-5511x052,Mathematics
b53f72f1-d162-4f47-a6af-c538db450833,Belinda,Newman,james28@example.org,(927)615-0474x39384,Engineering
bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,Cynthia,Ray,seanboyd@example.com,(752)514-2695x35769,Business Administration
12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,James,Shaffer,bmunoz@example.net,239.607.8471x331,Media Technology
7fa4b44f-6167-4bfe-b42b-5494a85f17c0,Mario,Dodson,ashleyreyes@example.org,709.905.8346,Management
2086fb93-7036-4127-b46f-14b11794fd56,Kyle,Montoya,jennifer25@example.org,(285)949-3395,Computer Science
5922b91c-31eb-443e-b15f-acbae8cf8831,Gregory,Rodriguez,jessica13@example.org,(585)779-2246,Mathematics
fe8c95dc-f314-472c-a317-83d7bb76fbc9,Ryan,Peters,lallen@example.com,(918)218-4576x42302,Physics
72d8246e-bd38-49b2-88c7-96f11c51f1fb,Brandon,Ross,glen07@example.com,573-238-1225x82741,Media Technology
80dad91e-02f0-4182-ae63-9bfe710a66b9,Maureen,Gardner,abest@example.com,(276)986-0950x2596,Engineering
21f1397e-1a61-401a-bc67-1e74523bf8d8,Daniel,Kramer,farrellcharles@example.com,346.450.7418x18433,Chemistry
a12b297c-6ca7-436c-8318-08b5a05e1eea,Briana,Nelson,zhangjamie@example.net,(383)585-8414x55427,Healthcare Informatics
d8e46018-304b-49b7-bb5b-d128007be5bd,Marc,Bryant,fhampton@example.net,363.982.0721,Business Administration
8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,Jacob,Clayton,timothy41@example.com,001-544-261-7242x054,Management
0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,Susan,David,stephaniesolomon@example.com,975-818-9816,Chemistry
